symbol=METALUSDT, price=0.04655
symbol=RARIUSDT, price=1.9114
symbol=PYTHUSDT, price=0.3648
symbol=BROCKUSDT, price=0.05138
symbol=RAKUSDT, price=5.799
symbol=DEVVEUSDT, price=0.2526
symbol=NTXUSDT, price=0.02789
symbol=XOXNOUSDT, price=0.07922
symbol=HTRUSDT, price=0.03891
symbol=NOSUSDT, price=2.33856
symbol=PBRUSDT, price=0.02968
symbol=WTKUSDT, price=0.00721
symbol=KIBAUSDT, price=2.429e-06
symbol=LVNUSDT, price=0.02169
symbol=LOKAUSDT, price=0.20795
symbol=DEFIUSDT, price=0.0201
symbol=BABYNEIROBNBUSDT, price=2.044e-11
symbol=SELOUSDT, price=0.00496
symbol=F3USDT, price=0.01326
symbol=TKAIUSDT, price=0.007123
symbol=HBARUSDT, price=0.05604
symbol=MANEKIUSDT, price=0.007785
symbol=UNMUSDT, price=7.0077
symbol=RAZORUSDT, price=0.002267
symbol=ORDSUSDT, price=0.003485
symbol=BFICUSDT, price=1.86
symbol=SWASHUSDT, price=0.005728
symbol=WSTORUSDT, price=0.003201
symbol=GALAXISUSDT, price=0.001053
symbol=APNUSDT, price=0.0008294
symbol=SNPTUSDT, price=0.04011
symbol=ZOONUSDT, price=0.0009067
symbol=DOGITAUSDT, price=1.366e-06
symbol=RINGAIUSDT, price=0.0264
symbol=EVERUSDT, price=0.03277
symbol=SUBUSDT, price=0.001341
symbol=HANDYUSDT, price=0.0003371
symbol=OZONEUSDT, price=0.00111002
symbol=TUAUSDT, price=0.0006189
symbol=MYTHUSDT, price=0.2419
symbol=SMILEAIUSDT, price=4.602e-07
symbol=MITXUSDT, price=4e-05
symbol=TPROUSDT, price=0.01035
symbol=MISHAUSDT, price=3.197e-06
symbol=FOMOUSDT, price=8.372e-06
symbol=GMRXUSDT, price=0.000694
symbol=GCOTIUSDT, price=0.04317
symbol=PPCUSDT, price=0.394
symbol=HOTKEYUSDT, price=0.1003
symbol=BRSUSDT, price=1.108e-05
symbol=KHAIUSDT, price=0.5856
symbol=FUDUSDT, price=6.314e-07
symbol=LEFEEFUSDT, price=0.010271
symbol=MERYUSDT, price=2.797e-05
symbol=DFUSDT, price=0.0356
symbol=BOSONUSDT, price=0.2794
symbol=SKAIUSDT, price=0.04323
symbol=ZKIDUSDT, price=0.004649
symbol=DOLZUSDT, price=0.00763
symbol=TATSUUSDT, price=13.89
symbol=NEMSUSDT, price=0.01411
symbol=SURFBOARDUSDT, price=0.002135
symbol=UBXUSDT, price=9.398e-06
symbol=SYPUSDT, price=0.0007364
symbol=PLXUSDT, price=0.05888
symbol=ALEOUSDT, price=2.0096
symbol=WAIUSDT, price=0.0002134
symbol=TLOSUSDT, price=0.31497
symbol=CATSUSDT, price=5.653e-05
symbol=RITEUSDT, price=0.0154
symbol=BERRYUSDT, price=0.0002618
